Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-04-15,16:00,Matchweek 1,Sat,Away,W,3.0,0.0,América (MG),3.1,1.1,54.0,6653.0,Nino,4-2-2-2,Braulio da Silva Machado,Match Report,
2023-04-22,16:00,Matchweek 2,Sat,Home,W,2.0,0.0,Ath Paranaense,0.8,0.6,62.0,38598.0,Nino,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,
2023-04-29,16:30,Matchweek 3,Sat,Away,L,2.0,4.0,Fortaleza,1.5,5.3,69.0,39943.0,Nino,4-2-3-1,Raphael Claus,Match Report,
2023-05-06,21:00,Matchweek 4,Sat,Home,D,1.0,1.0,Vasco da Gama,1.8,0.7,79.0,39850.0,Nino,4-2-3-1,Wilton Sampaio,Match Report,
2023-05-10,21:30,Matchweek 5,Wed,Away,W,2.0,0.0,Cruzeiro,1.2,2.1,52.0,51846.0,Nino,4-2-3-1,Flavio Rodrigues de Souza,Match Report,
2023-05-13,18:30,Matchweek 6,Sat,Home,W,2.0,0.0,Cuiabá,0.9,0.9,61.0,39040.0,Nino,4-2-3-1,Edina Alves Batista,Match Report,
2023-05-20,18:30,Matchweek 7,Sat,Away,L,0.0,1.0,Botafogo (RJ),0.9,1.4,65.0,24732.0,Nino,4-2-3-1,Braulio da Silva Machado,Match Report,
2023-05-28,16:00,Matchweek 8,Sun,Away,L,0.0,2.0,Corinthians,1.3,1.4,70.0,34624.0,Nino,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2023-06-04,16:00,Matchweek 9,Sun,Home,W,2.0,1.0,Bragantino,1.1,0.6,51.0,27228.0,Nino,4-2-3-1,Rodrigo José Pereira de Lima,Match Report,
2023-06-11,18:30,Matchweek 10,Sun,Away,D,2.0,2.0,Goiás,1.3,2.1,59.0,10260.0,Nino,4-2-2-2,Leandro Pedro Vuaden,Match Report,
2023-06-21,21:30,Matchweek 11,Wed,Home,D,1.0,1.0,Atlético Mineiro,0.4,1.4,49.0,7788.0,Nino,4-2-3-1,Ramon Abatti Abel,Match Report,
2023-06-24,18:30,Matchweek 12,Sat,Home,W,2.0,1.0,Bahia,3.0,1.0,49.0,24507.0,Nino,4-2-3-1,Savio Pereira,Match Report,
2023-07-01,16:00,Matchweek 13,Sat,Away,L,0.0,1.0,São Paulo,0.2,1.1,46.0,49153.0,Felipe Melo,4-2-3-1,Anderson Daronco,Match Report,
2023-07-09,16:00,Matchweek 14,Sun,Home,W,2.0,0.0,Internacional,1.1,0.4,55.0,,Nino,4-4-2,Luiz Flávio de Oliveira,Match Report,
2023-07-16,16:00,Matchweek 15,Sun,Home,D,0.0,0.0,Flamengo,1.5,0.4,54.0,62354.0,Nino,4-2-3-1,Savio Pereira,Match Report,
2023-07-24,19:00,Matchweek 16,Mon,Away,L,0.0,2.0,Coritiba,1.0,1.9,72.0,,Nino,4-3-3,Flavio Rodrigues de Souza,Match Report,
2023-07-29,16:00,Matchweek 17,Sat,Home,W,1.0,0.0,Santos,2.0,0.1,71.0,,Nino,4-2-3-1,Rodrigo José Pereira de Lima,Match Report,
2023-08-05,21:00,Matchweek 18,Sat,Home,W,2.0,1.0,Palmeiras,2.6,1.0,55.0,77973.0,Fábio,4-4-2,Ramon Abatti Abel,Match Report,
2023-08-13,16:00,Matchweek 19,Sun,Away,L,1.0,2.0,Grêmio,1.0,1.2,71.0,,Nino,4-2-3-1,Rodrigo José Pereira de Lima,Match Report,
2023-08-19,18:30,Matchweek 20,Sat,Home,W,3.0,1.0,América (MG),1.2,1.4,72.0,,Nino,4-2-3-1,Flavio Rodrigues de Souza,Match Report,
2023-08-27,18:30,Matchweek 21,Sun,Away,D,2.0,2.0,Ath Paranaense,3.0,0.8,71.0,23630.0,David Braz,3-4-3,Raphael Claus,Match Report,
2023-09-03,16:00,Matchweek 22,Sun,Home,W,1.0,0.0,Fortaleza,0.6,0.9,64.0,,Felipe Melo,4-4-2,André Luiz Skettino Policarpo Bento,Match Report,
2023-09-16,16:00,Matchweek 23,Sat,Away,L,2.0,4.0,Vasco da Gama,1.9,1.4,72.0,,Nino,4-4-2,Raphael Claus,Match Report,
2023-09-20,21:30,Matchweek 24,Wed,Home,W,1.0,0.0,Cruzeiro,0.5,0.7,59.0,28985.0,Nino,4-4-2,Matheus Delgado Candançan,Match Report,
2023-09-30,17:30,Matchweek 25,Sat,Away,L,0.0,3.0,Cuiabá,0.2,1.2,40.0,,David Braz,5-4-1,Paulo Zanovelli,Match Report,
2023-10-08,16:00,Matchweek 26,Sun,Home,L,0.0,2.0,Botafogo (RJ),1.1,1.9,66.0,,Nino,4-1-3-2,Leandro Pedro Vuaden,Match Report,
2023-10-19,21:30,Matchweek 27,Thu,Home,D,3.0,3.0,Corinthians,1.9,2.1,75.0,35096.0,Felipe Melo,4-2-3-1,Paulo Zanovelli,Match Report,
2023-10-22,18:30,Matchweek 28,Sun,Away,L,0.0,1.0,Bragantino,0.5,2.2,58.0,,André,4-2-3-1,Wilton Pereira Sampaio,Match Report,
2023-10-25,19:00,Matchweek 29,Wed,Home,W,5.0,3.0,Goiás,2.7,0.6,65.0,,Felipe Melo,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2023-10-28,22:00,Matchweek 30,Sat,Away,L,0.0,2.0,Atlético Mineiro,0.8,1.2,53.0,,André,5-4-1,Raphael Claus,Match Report,
2023-10-31,19:00,Matchweek 31,Tue,Away,L,0.0,1.0,Bahia,0.7,0.5,56.0,,David Braz,4-4-2,Edina Alves Batista,Match Report,
2023-11-08,19:00,Matchweek 33,Wed,Away,D,0.0,0.0,Internacional,0.5,1.1,60.0,,Nino,4-2-3-1,Rodrigo José Pereira de Lima,Match Report,
2023-11-11,18:30,Matchweek 34,Sat,Away,D,1.0,1.0,Flamengo,1.4,0.9,58.0,59970.0,Nino,4-2-3-1,Wilton Pereira Sampaio,Match Report,
2023-11-22,21:30,Matchweek 32,Wed,Home,W,1.0,0.0,São Paulo,1.0,0.1,59.0,,Marcelo,4-2-3-1,André Luiz Skettino Policarpo Bento,Match Report,
2023-11-25,21:00,Matchweek 35,Sat,Home,,,,Coritiba,,,,,,,,Head-to-Head,
2023-11-29,19:00,Matchweek 36,Wed,Away,,,,Santos,,,,,,,,Head-to-Head,
2023-12-02,,Matchweek 37,Sat,Away,,,,Palmeiras,,,,,,,,Head-to-Head,
2023-12-06,,Matchweek 38,Wed,Home,,,,Grêmio,,,,,,,,Head-to-Head,
